step,tokens_seen,loss,learning_rate,gradient_norm_before_clipping,step_seconds,timestamp_utc
0,262144,10.9874,1.06e-06,24.295,3.8,2026-09-20T06:14:04.713670+00:00
1,524288,10.8801,2.12e-06,23.501,1.4,2026-09-20T06:14:06.099320+00:00
2,786432,10.6905,3.18e-06,21.14,1.1,2026-09-20T06:14:07.167580+00:00
3,1048576,10.4256,4.24e-06,18.262,1.0,2026-09-20T06:14:08.126161+00:00
4,1310720,10.1649,5.3e-06,14.519,0.9,2026-09-20T06:14:09.005122+00:00
5,1572864,9.9022,6.36e-06,12.597,0.8,2026-09-20T06:14:09.849212+00:00
6,1835008,9.6745,7.42e-06,11.381,0.8,2026-09-20T06:14:10.667981+00:00
7,2097152,9.4973,8.48e-06,10.219,0.8,2026-09-20T06:14:11.477867+00:00
8,2359296,9.2599,9.54e-06,9.664,0.8,2026-09-20T06:14:12.269295+00:00
9,2621440,9.0518,1.06e-05,9.321,0.8,2026-09-20T06:14:13.063165+00:00
10,2883584,8.8664,1.17e-05,9.184,0.8,2026-09-20T06:14:13.854956+00:00
11,3145728,8.7215,1.27e-05,9.169,0.8,2026-09-20T06:14:14.653106+00:00
12,3407872,8.476,1.38e-05,9.451,0.8,2026-09-20T06:14:15.444706+00:00
13,3670016,8.1344,1.48e-05,9.461,0.8,2026-09-20T06:14:16.231042+00:00
14,3932160,7.9934,1.59e-05,8.49,0.8,2026-09-20T06:14:17.007740+00:00
15,4194304,7.8508,1.7e-05,7.042,0.8,2026-09-20T06:14:17.790970+00:00
16,4456448,7.6629,1.8e-05,5.71,0.8,2026-09-20T06:14:18.570056+00:00
17,4718592,7.463,1.91e-05,4.908,0.8,2026-09-20T06:14:19.354787+00:00
18,4980736,7.4376,2.01e-05,4.451,0.8,2026-09-20T06:14:20.134337+00:00
19,5242880,7.1743,2.12e-05,4.093,0.8,2026-09-20T06:14:20.918552+00:00
20,5505024,7.0917,2.23e-05,3.528,0.8,2026-09-20T06:14:21.701150+00:00
21,5767168,6.9155,2.33e-05,3.542,0.8,2026-09-20T06:14:22.483289+00:00
22,6029312,6.8391,2.44e-05,3.061,0.8,2026-09-20T06:14:23.273863+00:00
23,6291456,6.6977,2.54e-05,3.098,0.8,2026-09-20T06:14:24.060689+00:00
24,6553600,6.6939,2.65e-05,3.02,0.8,2026-09-20T06:14:24.841761+00:00
25,6815744,6.7194,2.76e-05,2.916,0.8,2026-09-20T06:14:25.627769+00:00
26,7077888,6.5769,2.86e-05,2.184,0.8,2026-09-20T06:14:26.409372+00:00
27,7340032,6.4353,2.97e-05,2.241,0.8,2026-09-20T06:14:27.191579+00:00
28,7602176,6.5124,3.07e-05,2.12,0.8,2026-09-20T06:14:27.973740+00:00
29,7864320,6.4815,3.18e-05,2.539,0.8,2026-09-20T06:14:28.755858+00:00
30,8126464,6.4075,3.29e-05,2.198,0.8,2026-09-20T06:14:29.533513+00:00
31,8388608,6.4124,3.39e-05,2.425,0.8,2026-09-20T06:14:30.318151+00:00
32,8650752,6.3466,3.5e-05,2.394,0.8,2026-09-20T06:14:31.096398+00:00
33,8912896,6.2555,3.6e-05,2.804,0.8,2026-09-20T06:14:31.874012+00:00
34,9175040,6.2796,3.71e-05,1.815,0.8,2026-09-20T06:14:32.655304+00:00
35,9437184,6.3034,3.82e-05,1.775,0.8,2026-09-20T06:14:33.433546+00:00
36,9699328,6.1905,3.92e-05,1.929,0.8,2026-09-20T06:14:34.212934+00:00
37,9961472,6.0332,4.03e-05,2.048,0.8,2026-09-20T06:14:35.000510+00:00
38,10223616,6.0032,4.13e-05,1.958,0.8,2026-09-20T06:14:35.780817+00:00
39,10485760,6.0261,4.24e-05,1.724,0.8,2026-09-20T06:14:36.568340+00:00
40,10747904,5.9945,4.35e-05,2.118,0.8,2026-09-20T06:14:37.360578+00:00
41,11010048,5.9544,4.45e-05,2.712,0.8,2026-09-20T06:14:38.154607+00:00
42,11272192,5.9081,4.56e-05,2.068,0.8,2026-09-20T06:14:38.946097+00:00
43,11534336,6.0263,4.66e-05,1.981,0.8,2026-09-20T06:14:39.737444+00:00
44,11796480,5.7722,4.77e-05,1.789,0.8,2026-09-20T06:14:40.543356+00:00
45,12058624,5.8308,4.88e-05,2.023,0.8,2026-09-20T06:14:41.365103+00:00
46,12320768,5.7186,4.98e-05,2.284,0.8,2026-09-20T06:14:42.165437+00:00
47,12582912,5.6332,5.09e-05,1.948,0.8,2026-09-20T06:14:42.963669+00:00
48,12845056,5.5773,5.19e-05,1.593,0.8,2026-09-20T06:14:43.759561+00:00
49,13107200,5.6252,5.3e-05,1.474,0.8,2026-09-20T06:14:44.551938+00:00
50,13369344,5.4627,5.41e-05,1.454,0.8,2026-09-20T06:15:00.406524+00:00
51,13631488,5.6537,5.51e-05,1.809,0.8,2026-09-20T06:15:01.194447+00:00
52,13893632,5.4277,5.62e-05,2.923,0.8,2026-09-20T06:15:01.991123+00:00
53,14155776,5.4274,5.72e-05,1.669,0.8,2026-09-20T06:15:02.782101+00:00
54,14417920,5.3229,5.83e-05,2.213,0.8,2026-09-20T06:15:03.566969+00:00
55,14680064,5.4214,5.94e-05,1.565,0.8,2026-09-20T06:15:04.354496+00:00
56,14942208,5.2732,6.04e-05,1.531,0.8,2026-09-20T06:15:05.134444+00:00
57,15204352,5.2996,6.15e-05,2.095,0.8,2026-09-20T06:15:05.911838+00:00
58,15466496,5.2235,6.25e-05,1.487,0.8,2026-09-20T06:15:06.689821+00:00
59,15728640,5.1889,6.36e-05,1.804,0.8,2026-09-20T06:15:07.469758+00:00
60,15990784,5.2269,6.47e-05,1.71,0.8,2026-09-20T06:15:08.251287+00:00
61,16252928,5.0365,6.57e-05,1.51,0.8,2026-09-20T06:15:09.032110+00:00
62,16515072,5.1001,6.68e-05,1.563,0.8,2026-09-20T06:15:09.820934+00:00
63,16777216,5.0295,6.78e-05,1.838,0.8,2026-09-20T06:15:10.601285+00:00
64,17039360,5.0163,6.89e-05,2.042,0.8,2026-09-20T06:15:11.382306+00:00
65,17301504,5.017,7e-05,1.8,0.8,2026-09-20T06:15:12.165313+00:00
66,17563648,4.9857,7.1e-05,1.304,0.8,2026-09-20T06:15:12.947029+00:00
67,17825792,4.8265,7.21e-05,1.512,0.8,2026-09-20T06:15:13.726433+00:00
68,18087936,4.9108,7.31e-05,1.447,0.8,2026-09-20T06:15:14.505427+00:00
69,18350080,4.8735,7.42e-05,1.316,0.8,2026-09-20T06:15:15.284318+00:00
70,18612224,4.891,7.53e-05,1.385,0.8,2026-09-20T06:15:16.065955+00:00
71,18874368,4.8927,7.63e-05,1.563,0.8,2026-09-20T06:15:16.844420+00:00
72,19136512,4.7914,7.74e-05,1.693,0.8,2026-09-20T06:15:17.622317+00:00
73,19398656,4.6386,7.84e-05,1.542,0.8,2026-09-20T06:15:18.400379+00:00
74,19660800,4.6978,7.95e-05,1.67,0.8,2026-09-20T06:15:19.178946+00:00
75,19922944,4.6529,8.06e-05,1.19,0.8,2026-09-20T06:15:19.956848+00:00
76,20185088,4.6631,8.16e-05,1.265,0.8,2026-09-20T06:15:20.735765+00:00
77,20447232,4.4701,8.27e-05,1.759,0.8,2026-09-20T06:15:21.515058+00:00
78,20709376,4.5057,8.37e-05,1.263,0.8,2026-09-20T06:15:22.293021+00:00
79,20971520,4.5492,8.48e-05,1.063,0.8,2026-09-20T06:15:23.076571+00:00
80,21233664,4.5009,8.59e-05,1.633,0.8,2026-09-20T06:15:23.855718+00:00
81,21495808,4.5573,8.69e-05,1.089,0.8,2026-09-20T06:15:24.633835+00:00
82,21757952,4.3834,8.8e-05,1.606,0.8,2026-09-20T06:15:25.411478+00:00
83,22020096,4.4791,8.9e-05,1.328,0.8,2026-09-20T06:15:26.189428+00:00
84,22282240,4.4061,9.01e-05,1.906,0.8,2026-09-20T06:15:26.967861+00:00
85,22544384,4.5401,9.12e-05,1.419,0.8,2026-09-20T06:15:27.746550+00:00
86,22806528,4.2946,9.22e-05,1.496,0.8,2026-09-20T06:15:28.527817+00:00
87,23068672,4.4768,9.33e-05,1.423,0.8,2026-09-20T06:15:29.306208+00:00
88,23330816,4.3936,9.43e-05,1.557,0.8,2026-09-20T06:15:30.084880+00:00
89,23592960,4.3245,9.54e-05,1.128,0.8,2026-09-20T06:15:30.863523+00:00
90,23855104,4.4346,9.65e-05,1.038,0.8,2026-09-20T06:15:31.641400+00:00
91,24117248,4.2497,9.75e-05,1.294,0.8,2026-09-20T06:15:32.419326+00:00
92,24379392,4.3181,9.86e-05,1.212,0.8,2026-09-20T06:15:33.197225+00:00
93,24641536,4.2832,9.96e-05,1.295,0.8,2026-09-20T06:15:33.975831+00:00
94,24903680,4.1803,0.000101,1.085,0.8,2026-09-20T06:15:34.755258+00:00
95,25165824,4.3266,0.000102,1.908,0.8,2026-09-20T06:15:35.534162+00:00
96,25427968,4.3028,0.000103,0.905,0.8,2026-09-20T06:15:36.312635+00:00
97,25690112,4.1913,0.000104,1.785,0.8,2026-09-20T06:15:37.091188+00:00
98,25952256,4.2894,0.000105,1.434,0.8,2026-09-20T06:15:37.869511+00:00
99,26214400,4.1406,0.000106,1.177,0.8,2026-09-20T06:15:38.648407+00:00
100,26476544,4.226,0.000107,1.81,0.8,2026-09-20T06:15:57.513157+00:00
101,26738688,4.2348,0.000108,1.026,0.8,2026-09-20T06:15:58.294377+00:00
102,27000832,4.151,0.000109,1.36,0.8,2026-09-20T06:15:59.071856+00:00
103,27262976,4.2119,0.00011,0.959,0.8,2026-09-20T06:15:59.848344+00:00
104,27525120,4.1734,0.000111,0.787,0.8,2026-09-20T06:16:00.626939+00:00
105,27787264,4.0845,0.000112,1.032,0.8,2026-09-20T06:16:01.404604+00:00
106,28049408,4.1917,0.000113,1.509,0.8,2026-09-20T06:16:02.183144+00:00
107,28311552,4.1258,0.000114,1.706,0.8,2026-09-20T06:16:02.961754+00:00
108,28573696,4.1192,0.000116,1.767,0.8,2026-09-20T06:16:03.742373+00:00
109,28835840,4.1009,0.000117,0.967,0.8,2026-09-20T06:16:04.522544+00:00
110,29097984,4.0117,0.000118,0.95,0.8,2026-09-20T06:16:05.302165+00:00
111,29360128,4.1444,0.000119,1.104,0.8,2026-09-20T06:16:06.081890+00:00
112,29622272,4.0866,0.00012,1.439,0.8,2026-09-20T06:16:06.859853+00:00
113,29884416,3.9807,0.000121,1.112,0.8,2026-09-20T06:16:07.638199+00:00
114,30146560,4.0803,0.000122,1.344,0.8,2026-09-20T06:16:08.416118+00:00
115,30408704,4.117,0.000123,1.584,0.8,2026-09-20T06:16:09.194315+00:00
116,30670848,3.9798,0.000124,1.265,0.8,2026-09-20T06:16:09.973444+00:00
117,30932992,3.9976,0.000125,1.347,0.8,2026-09-20T06:16:10.751474+00:00
118,31195136,4.0432,0.000126,1.231,0.8,2026-09-20T06:16:11.531281+00:00
119,31457280,4.0282,0.000127,1.24,0.8,2026-09-20T06:16:12.314929+00:00
120,31719424,4.0747,0.000128,1.157,0.8,2026-09-20T06:16:13.093172+00:00
121,31981568,3.9577,0.000129,2.249,0.8,2026-09-20T06:16:13.871800+00:00
122,32243712,3.9798,0.00013,1.25,0.8,2026-09-20T06:16:14.649698+00:00
123,32505856,3.9736,0.000131,1.561,0.8,2026-09-20T06:16:15.431810+00:00
124,32768000,3.9683,0.000133,1.624,0.8,2026-09-20T06:16:16.210790+00:00
125,33030144,3.9728,0.000134,1.031,0.8,2026-09-20T06:16:16.990492+00:00
126,33292288,3.9958,0.000135,1.289,0.8,2026-09-20T06:16:17.768625+00:00
127,33554432,3.9244,0.000136,1.894,0.8,2026-09-20T06:16:18.546543+00:00
128,33816576,3.9454,0.000137,1.104,0.8,2026-09-20T06:16:19.324688+00:00
129,34078720,3.8758,0.000138,1.272,0.8,2026-09-20T06:16:20.102518+00:00
130,34340864,3.9222,0.000139,1.687,0.8,2026-09-20T06:16:20.881001+00:00
131,34603008,3.9041,0.00014,0.989,0.8,2026-09-20T06:16:21.658597+00:00
132,34865152,3.8281,0.000141,1.537,0.8,2026-09-20T06:16:22.437562+00:00
133,35127296,3.8823,0.000142,0.982,0.8,2026-09-20T06:16:23.216013+00:00
134,35389440,3.8918,0.000143,1.586,0.8,2026-09-20T06:16:23.993988+00:00
135,35651584,3.8025,0.000144,1.237,0.8,2026-09-20T06:16:24.772187+00:00
136,35913728,3.7956,0.000145,1.396,0.8,2026-09-20T06:16:25.550311+00:00
137,36175872,3.8641,0.000146,1.153,0.8,2026-09-20T06:16:26.328374+00:00
138,36438016,3.877,0.000147,0.847,0.8,2026-09-20T06:16:27.107401+00:00
139,36700160,3.9141,0.000148,0.971,0.8,2026-09-20T06:16:27.886052+00:00
140,36962304,3.8784,0.000149,1.349,0.8,2026-09-20T06:16:28.664961+00:00
141,37224448,3.8755,0.000151,1.17,0.8,2026-09-20T06:16:29.442940+00:00
142,37486592,3.9137,0.000152,1.972,0.8,2026-09-20T06:16:30.222589+00:00
143,37748736,3.7997,0.000153,1.219,0.8,2026-09-20T06:16:31.000298+00:00
